0.14	12.52
0.21	10.54
0.16	12.35
0.15	12.37
0.15	12.28
0.13	12.46
0.15	12.24
0.17	12.21
0.17	12.37
0.17	12.21
0.18	12.61
0.19	12.44
0.15	12.51
0.17	12.8
0.18	12.48
0.18	12.43
0.19	12.55
0.16	12.24
0.15	12.49
0.14	12.41
0.17	12.56
0.16	12.32
0.16	12.15
0.17	12.28
0.17	12.58
0.14	12.49
0.16	12.27
0.15	12.33
0.16	12.68
0.18	12.34
0.18	12.3
0.14	12.53
0.16	12.51
0.18	12.49
0.17	12.65
0.19	12.36
0.17	11.99
0.14	11.97
0.17	12.46
0.16	12.33
0.15	12.12
0.15	11.99
0.15	12.19
0.15	12.44
0.18	12.47
0.17	12.7
0.16	12.42
0.15	12.31
0.17	12.35
0.16	12.25
0.15	11.96
0.17	12.45
0.18	12.29
0.16	12.27
0.15	12.38
0.15	12.58
0.15	12.19
0.17	12.48
0.18	12.06
0.18	12.44
0.17	12.12
0.14	12.41
0.16	12.54
0.16	12.15
0.17	12.47
0.17	12.42
0.15	12.38
0.16	12.22
0.15	12.08
0.17	12.36
0.16	12.45
0.16	12.48
0.15	12.56
0.16	12.71
0.17	12.49
0.15	12.66
0.17	12.74
0.17	12.11
0.14	11.83
0.15	11.92
0.16	12.55
0.15	12
0.16	11.81
0.16	12.99
0.12	12.24
0.17	12.41
0.19	12.97
0.15	12.44
0.16	12.45
0.18	12.26
0.15	12.68
0.18	12.61
0.18	12.8
0.19	12.66
0.16	12.73
0.21	12.51
0.16	12.65
0.18	12.92
0.16	12.56
0.15	12.68
0.15	12.81
0.2	13.49
