Filebench Version 1.5-alpha3
0.000: Allocated 2393MB of shared memory
2.192: Populating and pre-allocating filesets
2.192: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.016MB total size
2.192: Removing logfiles tree (if exists)
2.195: Pre-allocating directories in logfiles tree
2.195: Pre-allocating files in logfiles tree
3.161: bigfileset populated: 1250000 files, avg. dir. width = 20, avg. dir. depth = 4.7, 0 leafdirs, 19531.250MB total size
3.161: Removing bigfileset tree (if exists)
3.163: Pre-allocating directories in bigfileset tree
8.638: Pre-allocating files in bigfileset tree
296.761: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
296.761: Population and pre-allocation of filesets completed
301.668: Attempting to create fileset more than once, ignoring
301.679: Starting 1 webserver instances
302.748: Running...
312.970: Per-Operation Breakdown
finish               891ops       89ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
appendlog            1040ops      104ops/s   0.7mb/s    435.9ms/op [0.52ms - 1631.61ms]
closefile10          947ops       95ops/s   0.0mb/s      2.8ms/op [0.23ms - 58.42ms]
readfile10           947ops       95ops/s   1.5mb/s      8.4ms/op [1.37ms - 64.53ms]
openfile10           951ops       95ops/s   0.0mb/s     38.5ms/op [0.77ms - 551.48ms]
closefile9           951ops       95ops/s   0.0mb/s      2.8ms/op [0.29ms - 42.48ms]
readfile9            951ops       95ops/s   1.5mb/s      8.4ms/op [1.23ms - 58.43ms]
openfile9            954ops       95ops/s   0.0mb/s     37.2ms/op [1.18ms - 540.64ms]
closefile8           954ops       95ops/s   0.0mb/s      2.7ms/op [0.20ms - 21.71ms]
readfile8            956ops       96ops/s   1.5mb/s      8.5ms/op [1.29ms - 90.02ms]
openfile8            960ops       96ops/s   0.0mb/s     37.8ms/op [0.74ms - 536.63ms]
closefile7           960ops       96ops/s   0.0mb/s      2.8ms/op [0.17ms - 18.01ms]
readfile7            960ops       96ops/s   1.5mb/s      8.8ms/op [1.37ms - 61.54ms]
openfile7            963ops       96ops/s   0.0mb/s     39.7ms/op [1.27ms - 549.95ms]
closefile6           963ops       96ops/s   0.0mb/s      2.8ms/op [0.07ms - 31.05ms]
readfile6            964ops       96ops/s   1.5mb/s      9.0ms/op [1.25ms - 90.07ms]
openfile6            967ops       97ops/s   0.0mb/s     42.1ms/op [1.17ms - 544.09ms]
closefile5           968ops       97ops/s   0.0mb/s      2.9ms/op [0.05ms - 21.57ms]
readfile5            969ops       97ops/s   1.5mb/s      9.3ms/op [1.31ms - 90.43ms]
openfile5            978ops       98ops/s   0.0mb/s     43.4ms/op [2.26ms - 549.71ms]
closefile4           978ops       98ops/s   0.0mb/s      3.1ms/op [0.29ms - 28.40ms]
readfile4            978ops       98ops/s   1.5mb/s      9.9ms/op [1.39ms - 48.49ms]
openfile4            979ops       98ops/s   0.0mb/s     44.0ms/op [1.43ms - 497.40ms]
closefile3           980ops       98ops/s   0.0mb/s      3.2ms/op [0.24ms - 37.43ms]
readfile3            981ops       98ops/s   1.5mb/s     10.6ms/op [1.41ms - 69.61ms]
openfile3            982ops       98ops/s   0.0mb/s     42.3ms/op [1.02ms - 355.99ms]
closefile2           983ops       98ops/s   0.0mb/s      3.4ms/op [0.16ms - 81.42ms]
readfile2            984ops       98ops/s   1.5mb/s     10.8ms/op [1.41ms - 90.39ms]
openfile2            986ops       99ops/s   0.0mb/s     43.2ms/op [1.28ms - 545.89ms]
closefile1           989ops       99ops/s   0.0mb/s      3.0ms/op [0.08ms - 25.25ms]
readfile1            990ops       99ops/s   1.5mb/s      9.4ms/op [1.40ms - 89.90ms]
openfile1            991ops       99ops/s   0.0mb/s     46.5ms/op [1.70ms - 549.76ms]
312.970: IO Summary: 30104 ops 3010.049 ops/s 968/104 rd/wr  15.9mb/s  91.0ms/op
323.185: Per-Operation Breakdown
finish               778ops       78ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
appendlog            769ops       77ops/s   0.6mb/s    529.1ms/op [2.75ms - 1381.09ms]
closefile10          779ops       78ops/s   0.0mb/s      3.5ms/op [0.48ms - 32.56ms]
readfile10           780ops       78ops/s   1.2mb/s     11.0ms/op [2.00ms - 91.39ms]
openfile10           777ops       78ops/s   0.0mb/s     50.0ms/op [1.21ms - 330.00ms]
closefile9           777ops       78ops/s   0.0mb/s      3.5ms/op [0.59ms - 32.68ms]
readfile9            778ops       78ops/s   1.2mb/s     11.2ms/op [1.98ms - 123.98ms]
openfile9            778ops       78ops/s   0.0mb/s     50.2ms/op [4.19ms - 343.43ms]
closefile8           778ops       78ops/s   0.0mb/s      3.6ms/op [0.51ms - 31.89ms]
readfile8            776ops       78ops/s   1.2mb/s     11.2ms/op [1.79ms - 84.51ms]
openfile8            774ops       77ops/s   0.0mb/s     50.3ms/op [1.45ms - 364.97ms]
closefile7           774ops       77ops/s   0.0mb/s      3.8ms/op [0.36ms - 113.53ms]
readfile7            775ops       77ops/s   1.2mb/s     11.7ms/op [2.19ms - 124.38ms]
openfile7            777ops       78ops/s   0.0mb/s     51.4ms/op [1.43ms - 389.44ms]
closefile6           777ops       78ops/s   0.0mb/s      3.8ms/op [0.43ms - 91.97ms]
readfile6            776ops       78ops/s   1.2mb/s     11.7ms/op [2.02ms - 124.11ms]
openfile6            774ops       77ops/s   0.0mb/s     54.0ms/op [2.69ms - 378.15ms]
closefile5           773ops       77ops/s   0.0mb/s      3.7ms/op [0.42ms - 31.41ms]
readfile5            772ops       77ops/s   1.2mb/s     11.8ms/op [1.49ms - 125.72ms]
openfile5            766ops       77ops/s   0.0mb/s     47.7ms/op [1.46ms - 350.65ms]
closefile4           766ops       77ops/s   0.0mb/s      3.8ms/op [0.45ms - 92.53ms]
readfile4            766ops       77ops/s   1.2mb/s     11.6ms/op [2.01ms - 125.27ms]
openfile4            770ops       77ops/s   0.0mb/s     47.8ms/op [3.35ms - 402.75ms]
closefile3           770ops       77ops/s   0.0mb/s      3.7ms/op [0.43ms - 92.53ms]
readfile3            769ops       77ops/s   1.2mb/s     11.1ms/op [2.01ms - 83.14ms]
openfile3            775ops       77ops/s   0.0mb/s     51.9ms/op [1.20ms - 408.92ms]
closefile2           774ops       77ops/s   0.0mb/s      3.5ms/op [0.46ms - 31.03ms]
readfile2            775ops       77ops/s   1.2mb/s     10.9ms/op [2.02ms - 92.27ms]
openfile2            774ops       77ops/s   0.0mb/s     50.9ms/op [1.55ms - 419.18ms]
closefile1           774ops       77ops/s   0.0mb/s      3.6ms/op [0.51ms - 50.56ms]
readfile1            775ops       77ops/s   1.2mb/s     11.2ms/op [2.04ms - 124.89ms]
openfile1            778ops       78ops/s   0.0mb/s     55.7ms/op [1.52ms - 369.16ms]
323.185: IO Summary: 23996 ops 2399.356 ops/s 774/77 rd/wr  12.7mb/s 107.8ms/op
333.400: Per-Operation Breakdown
finish               553ops       55ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
appendlog            543ops       54ops/s   0.4mb/s    696.7ms/op [5.74ms - 2091.78ms]
closefile10          555ops       55ops/s   0.0mb/s      5.2ms/op [0.44ms - 106.00ms]
readfile10           555ops       55ops/s   0.9mb/s     16.9ms/op [2.66ms - 292.68ms]
openfile10           557ops       56ops/s   0.0mb/s     71.9ms/op [1.43ms - 660.07ms]
closefile9           557ops       56ops/s   0.0mb/s      5.1ms/op [0.41ms - 127.55ms]
readfile9            556ops       56ops/s   0.9mb/s     16.1ms/op [2.65ms - 200.06ms]
openfile9            557ops       56ops/s   0.0mb/s     69.1ms/op [1.84ms - 564.22ms]
closefile8           557ops       56ops/s   0.0mb/s      5.4ms/op [0.40ms - 79.24ms]
readfile8            557ops       56ops/s   0.9mb/s     17.3ms/op [2.79ms - 305.87ms]
openfile8            559ops       56ops/s   0.0mb/s     76.0ms/op [3.51ms - 654.42ms]
closefile7           559ops       56ops/s   0.0mb/s      5.2ms/op [0.38ms - 77.36ms]
readfile7            559ops       56ops/s   0.9mb/s     17.0ms/op [2.75ms - 283.11ms]
openfile7            557ops       56ops/s   0.0mb/s     75.0ms/op [1.95ms - 587.09ms]
closefile6           558ops       56ops/s   0.0mb/s      5.4ms/op [0.42ms - 105.94ms]
readfile6            559ops       56ops/s   0.9mb/s     17.4ms/op [2.70ms - 311.06ms]
openfile6            561ops       56ops/s   0.0mb/s     77.5ms/op [4.23ms - 518.66ms]
closefile5           563ops       56ops/s   0.0mb/s      5.2ms/op [0.39ms - 167.80ms]
readfile5            563ops       56ops/s   0.9mb/s     16.4ms/op [2.64ms - 297.53ms]
openfile5            564ops       56ops/s   0.0mb/s     70.4ms/op [2.21ms - 541.24ms]
closefile4           564ops       56ops/s   0.0mb/s      5.3ms/op [0.39ms - 146.70ms]
readfile4            564ops       56ops/s   0.9mb/s     16.7ms/op [2.80ms - 229.33ms]
openfile4            562ops       56ops/s   0.0mb/s     72.9ms/op [4.01ms - 644.80ms]
closefile3           562ops       56ops/s   0.0mb/s      5.9ms/op [0.42ms - 157.93ms]
readfile3            564ops       56ops/s   0.9mb/s     18.0ms/op [2.70ms - 311.13ms]
openfile3            559ops       56ops/s   0.0mb/s     70.0ms/op [3.85ms - 527.73ms]
closefile2           559ops       56ops/s   0.0mb/s      5.3ms/op [0.42ms - 75.59ms]
readfile2            557ops       56ops/s   0.9mb/s     15.8ms/op [2.64ms - 300.60ms]
openfile2            557ops       56ops/s   0.0mb/s     72.2ms/op [1.82ms - 587.43ms]
closefile1           556ops       56ops/s   0.0mb/s      4.8ms/op [0.53ms - 75.63ms]
readfile1            555ops       55ops/s   0.9mb/s     16.1ms/op [2.60ms - 166.27ms]
openfile1            552ops       55ops/s   0.0mb/s     86.3ms/op [1.72ms - 537.57ms]
333.400: IO Summary: 17307 ops 1730.527 ops/s 559/54 rd/wr   9.2mb/s 149.3ms/op
343.633: Per-Operation Breakdown
finish               505ops       50ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
appendlog            486ops       49ops/s   0.4mb/s    691.1ms/op [3.09ms - 1789.61ms]
closefile10          497ops       50ops/s   0.0mb/s      6.3ms/op [0.44ms - 154.17ms]
readfile10           496ops       50ops/s   0.8mb/s     18.6ms/op [3.35ms - 222.93ms]
openfile10           498ops       50ops/s   0.0mb/s     81.4ms/op [1.82ms - 387.25ms]
closefile9           499ops       50ops/s   0.0mb/s      6.0ms/op [0.40ms - 56.27ms]
readfile9            499ops       50ops/s   0.8mb/s     18.6ms/op [3.00ms - 269.68ms]
openfile9            496ops       50ops/s   0.0mb/s     91.4ms/op [1.81ms - 510.37ms]
closefile8           497ops       50ops/s   0.0mb/s      6.1ms/op [0.41ms - 115.23ms]
readfile8            498ops       50ops/s   0.8mb/s     19.1ms/op [3.31ms - 201.47ms]
openfile8            500ops       50ops/s   0.0mb/s     89.8ms/op [2.19ms - 501.21ms]
closefile7           500ops       50ops/s   0.0mb/s      6.3ms/op [0.06ms - 154.18ms]
readfile7            499ops       50ops/s   0.8mb/s     20.8ms/op [3.47ms - 251.61ms]
openfile7            500ops       50ops/s   0.0mb/s     98.2ms/op [2.20ms - 465.78ms]
closefile6           501ops       50ops/s   0.0mb/s      6.4ms/op [0.41ms - 56.24ms]
readfile6            501ops       50ops/s   0.8mb/s     20.7ms/op [3.48ms - 259.18ms]
openfile6            499ops       50ops/s   0.0mb/s     90.9ms/op [5.41ms - 615.82ms]
closefile5           499ops       50ops/s   0.0mb/s      6.5ms/op [0.45ms - 154.10ms]
readfile5            501ops       50ops/s   0.8mb/s     21.6ms/op [3.29ms - 275.43ms]
openfile5            499ops       50ops/s   0.0mb/s     85.9ms/op [3.01ms - 494.46ms]
closefile4           501ops       50ops/s   0.0mb/s      6.2ms/op [0.54ms - 31.98ms]
readfile4            501ops       50ops/s   0.8mb/s     21.2ms/op [4.22ms - 246.22ms]
openfile4            502ops       50ops/s   0.0mb/s     88.3ms/op [2.77ms - 468.11ms]
closefile3           502ops       50ops/s   0.0mb/s      6.4ms/op [0.18ms - 50.92ms]
readfile3            501ops       50ops/s   0.8mb/s     19.9ms/op [3.23ms - 223.72ms]
openfile3            503ops       50ops/s   0.0mb/s     81.3ms/op [1.79ms - 439.96ms]
closefile2           504ops       50ops/s   0.0mb/s      6.1ms/op [0.47ms - 91.61ms]
readfile2            504ops       50ops/s   0.8mb/s     20.0ms/op [3.34ms - 258.10ms]
openfile2            505ops       50ops/s   0.0mb/s     82.3ms/op [2.97ms - 424.27ms]
closefile1           505ops       50ops/s   0.0mb/s      6.0ms/op [0.40ms - 58.97ms]
readfile1            504ops       50ops/s   0.8mb/s     18.8ms/op [3.80ms - 179.42ms]
openfile1            505ops       50ops/s   0.0mb/s    106.0ms/op [1.82ms - 442.77ms]
343.633: IO Summary: 15502 ops 1550.024 ops/s 500/49 rd/wr   8.2mb/s 166.7ms/op
353.848: Per-Operation Breakdown
finish               432ops       43ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
appendlog            422ops       42ops/s   0.3mb/s    849.1ms/op [9.46ms - 2129.39ms]
closefile10          440ops       44ops/s   0.0mb/s      6.8ms/op [1.68ms - 45.27ms]
readfile10           441ops       44ops/s   0.7mb/s     21.4ms/op [3.59ms - 110.31ms]
