0.22	3.77
0.15	4.23
0.18	4.72
0.17	4.19
0.16	4.27
0.16	4.54
0.26	4.47
0.17	4.82
0.19	4.74
0.27	4.89
0.18	4.66
0.14	4.47
0.15	4.67
0.17	4.43
0.49	5.07
0.17	4.69
0.22	5.12
0.17	4.41
0.17	4.65
0.17	4.94
0.2	5.24
0.18	5.06
0.2	5.42
0.26	4.39
0.17	5.18
0.2	5.26
0.2	5.04
0.19	4.97
0.2	5.58
0.11	3.51
0.2	6.37
0.27	5.28
0.44	5.33
0.12	3.33
0.21	6
0.24	6.34
0.12	3.19
0.26	7.32
0.17	5.21
0.15	4.52
0.07	1.65
0.19	5.65
0.09	2.86
0.1	2.88
0.26	6.7
0.22	5.82
0.17	4.96
0	0.08
0.16	5.04
0.01	0.06
0.27	7.89
0.12	3.51
0.3	6.43
0.18	5.25
0.14	3.97
0.2	6.91
0.17	4.93
0.22	6.38
0.17	4.94
0.3	5.26
0.17	4.58
0.25	7.5
0.08	2.52
0.21	7.6
0.12	3.75
0	0.08
0.27	7.67
0.07	2.32
0.26	7.8
0.2	6.12
0.07	2.31
0.43	6.93
0.2	6.29
0.16	4.08
0.19	5.34
0.24	6.93
0.16	4.77
0.18	4.13
0.29	5.55
0.08	2.24
0.05	1.4
0.26	7.52
0.2	6.21
0.33	5.47
0.16	4.85
0.12	4.51
0.22	6.82
0.14	3.77
0.14	4.84
0.29	8.34
0.11	3.08
0.09	2.62
0.34	4.69
0.21	6.15
0.17	5.14
0.16	5.02
0.24	6.72
0.03	0.67
0.19	5.53
0.13	3.61
0.2	5.56
0.1	3
0	0.05
0.25	8.11
