0.14	7.77
0.07	3.89
0.09	4.08
0.08	3.72
0.1	3.95
0.06	3.78
0.08	3.9
0.08	3.68
0.09	3.78
0.08	4.24
0.07	3.59
0.09	4.51
0.07	3.74
0.08	4.02
0.08	4.05
0.09	3.84
0.08	3.9
0.09	4.11
0.09	3.67
0.08	4.16
0.1	4.03
0.1	4.12
0.08	3.77
0.08	4.53
0.06	3.36
0.09	3.98
0.1	4.24
0.07	3.91
0.1	3.96
0.07	3.98
0.1	3.84
0.08	3.65
0.1	4.32
0.09	3.99
0.07	3.75
0.06	4.37
0.07	3.69
0.08	3.74
0.08	4.47
0.07	3.77
0.09	3.81
0.1	4.01
0.07	3.94
0.07	3.81
0.07	3.74
0.09	3.9
0.18	4.54
0.07	3.65
0.08	4.01
0.09	3.86
0.08	3.7
0.08	4.31
0.08	3.65
0.08	3.61
0.08	4.07
0.1	3.99
0.11	3.66
0.1	4.59
0.08	3.99
0.08	3.61
0.08	4
0.09	3.68
0.1	4.06
0.09	3.55
0.09	4.06
0.08	3.77
0.07	3.93
0.09	4.07
0.11	3.92
0.09	3.76
0.08	3.96
0.09	3.78
0.11	4.06
0.07	3.31
0.09	4.31
0.07	3.75
0.07	3.91
0.09	3.79
0.09	3.86
0.08	3.37
0.1	4.39
0.07	4.01
0.06	3.35
0.09	4.32
0.08	3.77
0.07	3.59
0.07	3.96
0.08	3.72
0.08	3.55
0.06	3.79
0.08	4.3
