Filebench Version 1.5-alpha3
0.000: Allocated 2393MB of shared memory
0.593: Populating and pre-allocating filesets
2.217: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.016MB total size
2.217: Removing logfiles tree (if exists)
2.220: Pre-allocating directories in logfiles tree
2.220: Pre-allocating files in logfiles tree
3.567: bigfileset populated: 1250000 files, avg. dir. width = 20, avg. dir. depth = 4.7, 0 leafdirs, 19531.250MB total size
3.567: Removing bigfileset tree (if exists)
3.569: Pre-allocating directories in bigfileset tree
8.946: Pre-allocating files in bigfileset tree
298.913: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
298.913: Population and pre-allocation of filesets completed
303.652: Attempting to create fileset more than once, ignoring
303.659: Starting 1 webserver instances
304.717: Running...
314.934: Per-Operation Breakdown
finish               946ops       95ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
appendlog            1084ops      108ops/s   0.7mb/s    406.4ms/op [1.04ms - 1414.30ms]
closefile10          992ops       99ops/s   0.0mb/s      2.9ms/op [0.18ms - 52.61ms]
readfile10           992ops       99ops/s   1.5mb/s      8.9ms/op [1.24ms - 121.58ms]
openfile10           995ops       99ops/s   0.0mb/s     38.6ms/op [0.84ms - 499.69ms]
closefile9           996ops      100ops/s   0.0mb/s      3.0ms/op [0.33ms - 73.72ms]
readfile9            996ops      100ops/s   1.6mb/s      9.4ms/op [1.11ms - 167.90ms]
openfile9            1001ops      100ops/s   0.0mb/s     39.6ms/op [1.00ms - 354.82ms]
closefile8           1002ops      100ops/s   0.0mb/s      3.0ms/op [0.17ms - 73.34ms]
readfile8            1003ops      100ops/s   1.6mb/s      9.4ms/op [1.17ms - 136.94ms]
openfile8            1006ops      101ops/s   0.0mb/s     39.5ms/op [1.10ms - 497.97ms]
closefile7           1007ops      101ops/s   0.0mb/s      2.9ms/op [0.08ms - 66.48ms]
readfile7            1007ops      101ops/s   1.6mb/s      8.8ms/op [1.15ms - 132.40ms]
openfile7            1011ops      101ops/s   0.0mb/s     39.3ms/op [0.76ms - 420.99ms]
closefile6           1011ops      101ops/s   0.0mb/s      2.8ms/op [0.26ms - 48.01ms]
readfile6            1012ops      101ops/s   1.6mb/s      8.4ms/op [1.27ms - 136.43ms]
openfile6            1017ops      102ops/s   0.0mb/s     37.5ms/op [1.48ms - 429.19ms]
closefile5           1017ops      102ops/s   0.0mb/s      2.9ms/op [0.25ms - 56.38ms]
readfile5            1020ops      102ops/s   1.6mb/s      8.7ms/op [1.31ms - 131.69ms]
openfile5            1028ops      103ops/s   0.0mb/s     38.4ms/op [1.42ms - 449.10ms]
closefile4           1028ops      103ops/s   0.0mb/s      2.8ms/op [0.31ms - 53.87ms]
readfile4            1029ops      103ops/s   1.6mb/s      8.7ms/op [1.49ms - 130.93ms]
openfile4            1035ops      103ops/s   0.0mb/s     37.5ms/op [1.24ms - 501.37ms]
closefile3           1035ops      103ops/s   0.0mb/s      2.8ms/op [0.24ms - 47.26ms]
readfile3            1036ops      104ops/s   1.6mb/s      9.5ms/op [1.25ms - 165.84ms]
openfile3            1037ops      104ops/s   0.0mb/s     38.9ms/op [1.74ms - 472.08ms]
closefile2           1038ops      104ops/s   0.0mb/s      3.1ms/op [0.18ms - 35.34ms]
readfile2            1039ops      104ops/s   1.6mb/s      9.8ms/op [1.48ms - 176.41ms]
openfile2            1043ops      104ops/s   0.0mb/s     41.1ms/op [1.03ms - 296.82ms]
closefile1           1043ops      104ops/s   0.0mb/s      3.0ms/op [0.04ms - 42.94ms]
readfile1            1043ops      104ops/s   1.6mb/s      9.8ms/op [1.09ms - 177.06ms]
openfile1            1046ops      105ops/s   0.0mb/s     45.4ms/op [1.44ms - 454.40ms]
314.934: IO Summary: 31649 ops 3164.560 ops/s 1018/108 rd/wr  16.6mb/s  86.0ms/op
325.148: Per-Operation Breakdown
finish               767ops       77ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
appendlog            768ops       77ops/s   0.6mb/s    548.6ms/op [2.56ms - 1516.47ms]
closefile10          774ops       77ops/s   0.0mb/s      3.7ms/op [0.44ms - 54.05ms]
readfile10           775ops       77ops/s   1.2mb/s     11.6ms/op [2.09ms - 116.61ms]
openfile10           772ops       77ops/s   0.0mb/s     49.8ms/op [1.23ms - 244.81ms]
closefile9           773ops       77ops/s   0.0mb/s      3.6ms/op [0.60ms - 75.91ms]
readfile9            774ops       77ops/s   1.2mb/s     11.0ms/op [1.97ms - 46.84ms]
openfile9            773ops       77ops/s   0.0mb/s     49.0ms/op [1.49ms - 208.82ms]
closefile8           773ops       77ops/s   0.0mb/s      3.6ms/op [0.42ms - 53.55ms]
readfile8            772ops       77ops/s   1.2mb/s     11.4ms/op [2.06ms - 117.03ms]
openfile8            773ops       77ops/s   0.0mb/s     49.0ms/op [3.20ms - 266.64ms]
closefile7           772ops       77ops/s   0.0mb/s      3.7ms/op [0.46ms - 59.92ms]
readfile7            772ops       77ops/s   1.2mb/s     11.7ms/op [2.03ms - 96.36ms]
openfile7            772ops       77ops/s   0.0mb/s     47.4ms/op [2.10ms - 233.64ms]
closefile6           772ops       77ops/s   0.0mb/s      3.6ms/op [0.06ms - 53.55ms]
readfile6            773ops       77ops/s   1.2mb/s     11.2ms/op [1.91ms - 53.07ms]
openfile6            772ops       77ops/s   0.0mb/s     51.5ms/op [1.48ms - 298.38ms]
closefile5           772ops       77ops/s   0.0mb/s      3.7ms/op [0.14ms - 53.99ms]
readfile5            769ops       77ops/s   1.2mb/s     11.2ms/op [2.00ms - 96.65ms]
openfile5            763ops       76ops/s   0.0mb/s     50.1ms/op [2.30ms - 302.37ms]
closefile4           763ops       76ops/s   0.0mb/s      3.7ms/op [0.40ms - 30.23ms]
readfile4            762ops       76ops/s   1.2mb/s     11.5ms/op [2.33ms - 96.80ms]
openfile4            760ops       76ops/s   0.0mb/s     49.2ms/op [1.22ms - 266.91ms]
closefile3           760ops       76ops/s   0.0mb/s      3.6ms/op [0.46ms - 37.34ms]
readfile3            759ops       76ops/s   1.2mb/s     11.4ms/op [2.28ms - 73.12ms]
openfile3            763ops       76ops/s   0.0mb/s     48.3ms/op [1.66ms - 259.33ms]
closefile2           764ops       76ops/s   0.0mb/s      3.5ms/op [0.39ms - 11.84ms]
readfile2            764ops       76ops/s   1.2mb/s     11.5ms/op [2.01ms - 116.52ms]
openfile2            762ops       76ops/s   0.0mb/s     49.4ms/op [1.59ms - 278.16ms]
closefile1           763ops       76ops/s   0.0mb/s      3.7ms/op [0.58ms - 25.42ms]
readfile1            763ops       76ops/s   1.2mb/s     11.8ms/op [1.95ms - 116.61ms]
openfile1            767ops       77ops/s   0.0mb/s     53.6ms/op [1.43ms - 285.39ms]
325.148: IO Summary: 23814 ops 2381.178 ops/s 768/77 rd/wr  12.6mb/s 108.7ms/op
335.362: Per-Operation Breakdown
finish               549ops       55ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.02ms]
appendlog            536ops       54ops/s   0.4mb/s    734.5ms/op [3.29ms - 2282.16ms]
closefile10          553ops       55ops/s   0.0mb/s      5.4ms/op [0.89ms - 116.62ms]
readfile10           552ops       55ops/s   0.9mb/s     16.5ms/op [2.84ms - 227.26ms]
openfile10           555ops       55ops/s   0.0mb/s     71.9ms/op [1.84ms - 503.30ms]
closefile9           553ops       55ops/s   0.0mb/s      5.2ms/op [0.43ms - 101.75ms]
readfile9            552ops       55ops/s   0.9mb/s     16.0ms/op [2.66ms - 176.60ms]
openfile9            553ops       55ops/s   0.0mb/s     77.0ms/op [1.47ms - 621.08ms]
closefile8           553ops       55ops/s   0.0mb/s      5.2ms/op [0.42ms - 77.42ms]
readfile8            554ops       55ops/s   0.9mb/s     16.1ms/op [2.68ms - 219.93ms]
openfile8            553ops       55ops/s   0.0mb/s     67.7ms/op [4.18ms - 588.03ms]
