0.55	3.1
0.42	2.37
0.6	2.86
0.59	2.93
0.61	2.94
0.54	2.97
0.7	3.27
0.56	2.68
0.57	2.84
0.57	2.84
0.56	2.97
0.61	2.95
0.55	2.66
0.68	3.4
0.56	2.83
0.55	2.77
0.55	2.82
0.55	2.84
0.57	2.67
0.59	3.14
0.6	2.88
0.57	2.91
0.62	2.97
0.58	2.76
0.56	2.77
0.59	3.08
0.48	2.49
0.56	2.96
0.61	2.91
0.61	2.94
0.54	2.86
0.56	2.85
0.6	2.97
0.59	2.92
0.58	2.86
0.61	2.82
0.54	2.72
0.58	2.81
0.6	3.32
0.53	2.84
0.51	2.77
0.55	2.8
0.55	2.78
0.59	2.9
0.7	3.47
0.5	2.49
0.57	2.96
0.61	2.94
0.57	2.86
0.54	2.8
0.54	2.87
0.59	2.96
0.62	2.89
0.58	2.93
0.57	2.94
0.53	2.97
0.58	2.95
0.55	3.04
0.53	2.65
0.56	2.88
0.62	2.91
0.58	2.86
0.63	3.21
0.63	3
0.59	2.95
0.55	2.78
0.59	2.79
0.55	2.84
0.56	2.85
0.54	2.97
0.61	3.14
0.53	2.99
0.59	2.92
0.56	2.95
0.59	2.88
0.51	2.82
0.5	2.8
