0.04	0.77
0.05	0.98
0.07	0.97
0.06	1.26
0.05	1.22
0.06	1.2
0.07	1.28
0.07	1.26
0.06	1.27
0.06	1.25
0.07	1.27
0.07	1.24
0.05	1.25
0.08	1.24
0.08	1.27
0.06	1.22
0.07	1.23
0.05	1.19
0.06	1.24
0.05	1.29
0.06	1.27
0.06	1.26
0.06	1.29
0.07	1.28
0.07	1.27
0.07	1.28
0.07	1.25
0.06	1.2
0.07	1.25
0.07	1.26
0.07	1.28
0.06	1.24
0.08	1.24
0.06	1.24
0.06	1.15
0.06	1.26
0.05	1.3
0.06	1.24
0.05	1.32
0.06	1.31
0.07	1.3
0.07	1.24
0.08	1.27
0.07	1.28
0.06	1.28
0.06	1.28
0.06	1.33
0.08	1.31
0.06	1.3
0.07	1.28
0.06	1.22
0.05	1.16
0.06	1.22
0.06	1.19
0.06	1.24
0.07	1.22
0.08	1.19
0.07	1.22
0.06	1.23
0.06	1.28
0.06	1.27
0.07	1.29
0.06	1.25
0.08	1.26
0.06	1.24
0.06	1.28
0.07	1.33
0.06	1.25
0.07	1.25
0.07	1.3
0.07	1.29
0.1	1.33
0.06	1.27
0.07	1.33
0.06	1.3
0.07	1.3
0.06	1.33
0.07	1.27
0.06	1.29
0.07	1.31
0.06	1.37
0.07	1.31
0.05	1.23
0.07	1.27
0.07	1.32
0.07	1.27
0.07	1.27
0.06	1.29
0.07	1.27
0.05	1.27
0.05	1.26
0.07	1.25
0.05	1.27
