0.42	4.45
0.29	2.95
0.33	4.15
0.3	3
0.36	3.86
0.35	4.04
0.36	3.87
0.27	3.03
0.37	4.39
0.34	4.01
0.35	4.15
0.24	3.04
0.44	4.02
0.28	3.2
0.34	4.11
0.29	3.49
0.39	4.14
0.36	3.71
0.35	4.05
0.29	3.28
0.37	4.09
0.35	3.75
0.3	3.92
0.25	3.25
0.39	3.75
0.28	3.31
0.34	4.14
0.29	3.8
0.42	4.01
0.29	3.3
0.31	3.6
0.33	3.83
0.37	4.11
0.32	4.17
0.29	3.81
0.31	3.34
0.37	4
0.4	4.22
0.4	4.25
0.28	3.15
0.4	4.07
0.31	3.75
0.38	3.84
0.37	4.19
0.33	4.27
0.31	3.59
0.37	4.1
0.37	3.81
0.4	4.23
0.38	3.98
0.32	4.05
0.25	3.31
0.32	3.9
0.33	3.11
0.34	4.07
0.32	4.01
0.35	3.85
0.31	3.59
0.39	4.23
0.29	3.44
0.36	4.08
0.23	3.34
0.37	4.32
0.25	3.5
0.34	4.17
0.31	3.54
0.34	4.32
0.24	3.29
0.31	3.96
0.37	4.15
0.36	4.38
0.34	3.36
0.36	3.89
0.28	3.84
0.26	3.66
0.36	3.98
0.37	4.5
