0.45	4.93
0.39	4.33
0.4	4.91
0.35	3.73
0.45	5.15
0.34	3.7
0.39	5.26
0.34	4.05
0.42	5.14
0.35	3.58
0.44	5.06
0.38	4.93
0.4	4.86
0.35	3.71
0.45	4.9
0.37	4.11
0.43	4.91
0.45	4.85
0.45	4.96
0.39	4.16
0.41	4.82
0.33	3.94
0.44	4.77
0.31	3.93
0.44	4.8
0.29	3.84
0.4	4.86
0.39	4.82
0.42	4.76
0.36	4.1
0.42	4.81
0.34	3.71
0.49	4.85
0.34	3.73
0.38	4.89
0.35	3.9
0.42	4.88
0.33	3.73
0.41	4.85
0.42	4.79
0.41	4.93
0.31	3.76
0.45	5.05
0.33	3.81
0.42	4.92
0.41	4.87
0.41	4.85
0.34	3.82
0.41	4.7
0.38	5.01
0.42	4.84
0.3	3.57
0.43	4.94
0.29	3.73
0.38	4.92
0.32	3.85
0.4	4.68
0.34	4.22
0.44	4.94
0.33	4.03
0.46	5.05
0.32	3.88
0.41	5.12
0.32	3.69
0.37	4.81
