0.05	0.31
0.07	0.49
0.18	0.95
0.44	2.06
0.17	0.72
0.11	0.43
0.16	0.72
0.03	0.2
0	0.02
0.18	0.84
0.48	1.91
0.37	1.63
0	0.02
0.31	1.19
0.01	0.04
0.26	1.12
0.07	0.29
0.04	0.15
0.07	0.38
0.42	1.76
0.45	1.92
0	0.03
0.28	1.14
0.02	0.13
0.24	1.06
0.01	0.1
0.03	0.14
0.2	0.93
0.38	1.56
0.25	1.12
0.23	0.94
0.07	0.34
0.3	1.24
0	0.03
0.02	0.1
0	0.03
0.39	1.61
0.32	1.34
0.22	1.07
0.02	0.15
0.25	1.04
0.31	1.21
0	0.04
0.02	0.13
0.03	0.16
0.44	1.76
0.44	1.87
0.02	0.13
0.26	1.07
0.04	0.23
0.21	0.96
0.03	0.16
0.03	0.16
0.05	0.15
0.44	1.87
0.3	1.25
0.3	1.43
0.11	0.42
0.1	0.52
0.14	0.78
0.03	0.14
0.04	0.17
0.05	0.17
0.39	1.73
0.47	1.95
0.01	0.03
0.3	1.13
0.02	0.12
0.26	1.07
0.02	0.07
0.03	0.19
0.13	0.38
0.45	1.98
0.32	1.46
0.03	0.09
0.26	1.1
0.13	0.62
0.11	0.59
0.06	0.21
0.03	0.07
0.25	0.98
0.15	0.68
0.5	2.06
0.26	1.13
0.05	0.3
0.01	0.06
0.36	1.17
0.04	0.22
0.02	0.08
0.16	0.68
0.29	1.27
0.41	1.72
0.1	0.53
0.01	0.05
0.28	1.18
0.03	0.16
0.03	0.17
0.01	0.05
0.28	1.27
0.5	2.18
0.03	0.15
0.3	1.22
0.02	0.14
0.23	1.06
0.01	0.1
0.01	0.05
0.22	0.99
0.49	1.82
0.36	1.48
0.01	0.04
0.02	0.13
0.24	1.04
0.21	0.97
0.07	0.33
0.01	0.12
0.01	0.05
0.32	1.3
0.48	1.99
0.03	0.2
0.3	1.07
0.01	0.09
0.23	0.99
0.03	0.18
0.03	0.14
0.05	0.28
0.01	0.02
0.32	1.57
0.45	1.89
0	0.04
0.26	1.15
0	0.02
0.29	1.14
0.02	0.1
0.05	0.17
0.01	0.04
0.22	0.91
0.56	2.45
0.17	0.79
0.01	0.03
0.27	1.12
0	0.06
0.32	1.39
0	0.03
0.03	0.1
0	0.02
0.48	1.93
0.36	1.5
0.01	0.04
0.25	1.16
0.02	0.13
0.27	1
0.01	0.04
0.02	0.1
0.19	0.83
0.42	1.63
0.22	1.03
0.01	0.04
0.28	1.17
0.02	0.14
0.23	1.04
0	0.04
0.01	0.1
0.21	0.83
0.27	1.11
0.53	2.29
0.01	0.1
0.01	0.05
0.24	1.12
0.03	0.13
0.04	0.21
0.03	0.17
0.24	1.14
0.52	2.15
0.01	0.05
0.29	1.23
0.03	0.1
0.24	1.11
0.02	0.08
0	0.04
0.28	1.12
0.2	0.91
0.29	1.44
0.27	1.07
0.01	0.16
0.28	1.18
0	0.05
0.03	0.14
0.06	0.27
0.35	1.71
0.34	1.45
0.06	0.29
0.28	1.14
0.01	0.1
0.3	1.17
0	0.03
0.01	0.13
0.1	0.43
0.44	1.99
0.23	1.11
0.01	0.05
0.25	1.03
0.25	1.07
0.03	0.17
0	0.04
0.02	0.13
0.2	0.84
0.36	1.56
0.22	1.04
0.07	0.26
0.2	0.87
0.03	0.19
0.22	1.01
0	0.04
0.01	0.1
0.31	1.24
0.4	1.65
0.12	0.56
0.27	1.02
0.03	0.17
0.27	1.18
0.01	0.04
0.01	0.12
0.01	0.03
0.21	0.97
0.26	1.16
0.54	2.37
0.01	0.03
0	0.02
0.25	0.96
