0.46	4.23
0.34	3.77
0.29	3.44
0.39	4.03
0.43	4.03
0.36	3.67
0.42	4.23
0.38	3.49
0.44	4.24
0.4	3.84
0.43	4.2
0.37	3.85
0.41	3.91
0.39	3.91
0.44	4.33
0.4	3.83
0.42	3.96
0.33	3.52
0.38	3.99
0.41	4.32
0.35	3.54
0.45	4.25
0.44	4.1
0.39	3.83
0.41	4.22
0.4	3.93
0.36	3.79
0.4	4.25
0.42	3.86
0.41	3.95
0.38	3.49
0.35	3.94
0.36	4.02
0.35	3.75
0.4	4.04
0.38	3.84
0.37	3.82
0.37	3.68
0.33	3.42
0.41	4.3
0.35	3.79
0.38	3.8
0.44	4.32
0.42	4.17
0.29	3.25
0.44	4.37
0.34	3.86
0.38	3.8
0.44	4.25
0.36	3.77
0.33	3.87
0.39	3.92
0.44	4.15
0.42	3.77
0.39	3.79
0.4	3.92
0.33	3.61
0.38	3.88
0.39	3.91
0.38	4.2
0.33	3.45
0.41	4.13
0.4	3.82
0.4	3.71
0.37	3.69
0.33	3.73
0.4	4
0.34	3.72
0.4	4.13
0.42	4.3
0.35	3.54
0.35	3.9
0.38	3.98
0.35	3.73
0.37	4.01
0.35	3.36
0.36	3.58
0.44	4.37
0.34	3.74
0.4	3.98
0.38	3.84
0.33	3.33
0.43	4.15
0.41	3.82
0.41	4.06
0.37	3.37
0.39	4.19
0.41	3.88
0.38	3.64
0.39	4.04
0.34	3.66
