0.46	2.08
0.6	2.55
0.51	2.06
0.48	2.27
0.53	2.18
0.49	2.24
0.47	2.12
0.61	2.65
0.46	2.19
0.51	2.35
0.46	2.14
0.5	2.27
0.55	2.57
0.57	2.59
0.41	1.89
0.51	2.37
0.55	2.48
0.53	2.49
0.47	2.22
0.52	2.43
0.54	2.5
0.57	2.41
0.46	2.37
0.52	2.51
0.48	2.37
0.48	2.41
0.53	2.43
0.45	2.29
0.5	2.36
0.47	2.14
0.59	2.78
0.5	2.25
0.53	2.52
0.53	2.51
0.49	2.3
0.42	2.12
0.53	2.68
0.56	2.42
0.48	2.32
0.46	2.17
0.54	2.57
0.54	2.52
0.51	2.59
0.5	2.09
0.52	2.47
0.51	2.33
0.52	2.42
0.53	2.53
0.44	2.24
0.53	2.43
0.52	2.62
0.46	2.14
0.53	2.64
0.5	2.5
0.5	2.49
0.44	2.19
0.5	2.46
0.57	2.57
0.47	2.32
0.43	2.35
0.56	2.72
0.45	2.09
0.55	2.35
0.45	2.24
0.53	2.5
0.44	2.14
0.58	2.61
0.44	2.31
0.51	2.49
0.49	2.42
0.45	2.34
0.44	2.24
0.62	2.83
0.44	2.17
0.52	2.5
0.43	2.15
0.48	2.39
0.46	2.22
0.58	2.75
0.49	2.3
0.54	2.41
0.52	2.43
0.53	2.49
0.42	2.05
0.5	2.27
0.56	2.74
0.51	2.44
0.46	2.26
0.48	2.33
0.37	1.87
