0.4	11.07
0.34	12.85
0.31	12.42
0.5	12.79
0.44	13.22
0.37	13.72
0.38	13.55
0.33	13.62
0.46	12.88
0.3	11.99
0.35	13.13
0.33	13.86
0.35	13.22
0.35	12.95
0.34	13.18
0.46	12.1
0.36	13.98
0.3	13.27
0.34	13.57
0.34	13.66
0.31	12.1
0.43	12.34
0.32	12.96
0.32	13.42
0.46	13.52
0.34	12.37
0.37	13.48
0.48	13.35
0.39	13.38
0.32	13.04
0.33	13.55
0.33	12.87
0.36	13.59
0.5	13.6
0.36	13.63
0.61	12.83
0.4	13.51
0.35	12.85
0.34	14.14
0.34	13.14
0.46	12.94
0.35	13.27
0.55	13.15
0.33	13.05
0.31	13.23
0.36	13.34
0.32	13.27
0.35	13.34
0.53	13.78
0.36	12.69
0.37	13
0.29	13.04
0.56	13.46
0.32	12.7
0.33	13.46
0.35	12.79
0.36	13.22
0.35	12.86
0.7	13.07
0.49	13.51
0.41	13.54
0.54	13
0.35	12.44
0.5	12.89
0.35	13.39
0.43	13.23
0.44	13.04
0.47	13.46
0.5	13.98
0.42	13.72
0.33	13.01
0.33	12.72
0.34	13.36
0.53	13.18
0.6	13.51
0.4	13.26
0.29	13.25
0.48	12.91
0.74	13.28
0.46	13.04
0.37	13.8
0.43	13.21
0.35	13.61
0.38	12.75
0.36	13.39
0.34	13.73
0.41	13.11
0.35	13.61
0.4	12.7
0.37	14.2
0.37	12.69
0.31	13.85
0.32	12.78
0.33	13.32
0.33	13.65
0.46	13.59
0.35	12.85
0.34	13.23
0.51	13.6
0.46	12.79
0.46	13.31
